STATE/UT,Rape,KIDNAPPING & ABDUCTION,DOWRY DEATH,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO THE MODESTY OF WOMEN,CRUELTY BY HUSBAND OR RELATIVES ,IMMORAL TRAFFIC(PREVENTION)ACT,INDECENT REPRESENTATION OF WOMEN(PREVENTION)ACT,TOTAL,ZONES
A&N Islands,1.840490798,2.840490798,3.840490798,4.840490798,5.840490798,6.840490798,7.840490798,8.840490798,9.840490798,UT
Andhra Pradesh,2.311387098,2.030093145,1.114560943,9.404771382,6.02659024,15.36767243,3.534750418,2.45468779,42.24451344,South
Arunachal Pradesh,6.370656371,10.61776062,0,15.05791506,0.579150579,2.123552124,0,0,34.74903475,North East
Assam,6.344152819,8.308743594,0.458145675,6.600403789,0.031060724,9.690945799,0.046591086,0.077651809,31.55769529,North East
Bihar,2.233681298,1.302980757,2.160734499,1.413658659,0.052823544,3.919003899,0.072946799,0.007546221,11.16337568,East
Chandigarh,4.568527919,5.568527919,6.568527919,7.568527919,8.568527919,9.568527919,10.56852792,11.56852792,12.56852792,UT
Chhattisgarh,9.256756757,1.650579151,0.675675676,17.01737452,1.554054054,8.108108108,0.115830116,0,38.37837838,Central
D&N Haveli,6.060606061,7.060606061,8.060606061,9.060606061,10.06060606,11.06060606,12.06060606,13.06060606,14.06060606,UT
Daman & Diu,0,4.545454545,0,0,0,6.060606061,4.545454545,0,15.15151515,UT
Delhi UT,6.102835175,7.102835175,8.102835175,9.102835175,10.10283518,11.10283518,12.10283518,13.10283518,14.10283518,UT
Goa,1.818181818,0.909090909,0.303030303,2.575757576,1.060606061,1.666666667,4.242424242,0,12.57575758,West
Gujarat,1.177681697,3.528927321,0.275890467,3.113032736,0.457072267,15.09985588,0.251183858,0,23.90364422,West
Haryana,4.069113588,5.069113588,6.069113588,7.069113588,8.069113588,9.069113588,10.06911359,11.06911359,12.06911359,North
Himachal Pradesh,4.147157191,5.147157191,6.147157191,7.147157191,8.147157191,9.147157191,10.14715719,11.14715719,12.14715719,North
Jammu & Kashmir,3.533347272,4.533347272,5.533347272,6.533347272,7.533347272,8.533347272,9.533347272,10.53334727,11.53334727,North
Jharkhand,4.341168364,5.341168364,6.341168364,7.341168364,8.341168364,9.341168364,10.34116836,11.34116836,12.34116836,East
Karnataka,1.129007398,2.129007398,3.129007398,4.129007398,5.129007398,6.129007398,7.129007398,8.129007398,9.129007398,South
Kerala,3.432480303,4.432480303,5.432480303,6.432480303,7.432480303,8.432480303,9.432480303,10.4324803,11.4324803,South
Lakshadweep,0,0,0,0,0,0,0,0,0,UT
Madhya Pradesh,9.863686687,10.86368669,11.86368669,12.86368669,13.86368669,14.86368669,15.86368669,16.86368669,17.86368669,Central
Maharashtra,2.801325358,3.801325358,4.801325358,5.801325358,6.801325358,7.801325358,8.801325358,9.801325358,10.80132536,West
Manipur,1.867413632,2.867413632,3.867413632,4.867413632,5.867413632,6.867413632,7.867413632,8.867413632,9.867413632,North East
Meghalaya,2.274715661,3.274715661,4.274715661,5.274715661,6.274715661,7.274715661,8.274715661,9.274715661,10.27471566,North East
Mizoram,12.12121212,13.12121212,14.12121212,15.12121212,16.12121212,17.12121212,18.12121212,19.12121212,20.12121212,North East
Nagaland,1.802757158,2.802757158,3.802757158,4.802757158,5.802757158,6.802757158,7.802757158,8.802757158,9.802757158,North East
Odisha,4.354056437,5.354056437,6.354056437,7.354056437,8.354056437,9.354056437,10.35405644,11.35405644,12.35405644,East
Puducherry,1.848049281,2.848049281,3.848049281,4.848049281,5.848049281,6.848049281,7.848049281,8.848049281,9.848049281,UT
Punjab,2.62001055,3.62001055,4.62001055,5.62001055,6.62001055,7.62001055,8.62001055,9.62001055,10.62001055,North
Rajasthan,3.872706464,4.872706464,5.872706464,6.872706464,7.872706464,8.872706464,9.872706464,10.87270646,11.87270646,West
Sikkim,3.174603175,4.174603175,5.174603175,6.174603175,7.174603175,8.174603175,9.174603175,10.17460317,11.17460317,North East
Tamil Nadu,1.364296081,2.364296081,3.364296081,4.364296081,5.364296081,6.364296081,7.364296081,8.364296081,9.364296081,South
Tripura,6.55105973,7.55105973,8.55105973,9.55105973,10.55105973,11.55105973,12.55105973,13.55105973,14.55105973,North East
Uttar Pradesh,2.490048707,3.490048707,4.490048707,5.490048707,6.490048707,7.490048707,8.490048707,9.490048707,10.49004871,North
Uttarakhand,1.777564257,2.777564257,3.777564257,4.777564257,5.777564257,6.777564257,7.777564257,8.777564257,9.777564257,North
West Bengal,1.83156807,2.83156807,3.83156807,4.83156807,5.83156807,6.83156807,7.83156807,8.83156807,9.83156807,East
