UT,Year,CrimeRate In UT
Puducherry,2001,117
Puducherry,2002,138
Puducherry,2003,116
Puducherry,2004,104
Puducherry,2005,110
Puducherry,2006,147
Puducherry,2007,168
Puducherry,2008,120
Puducherry,2009,102
Puducherry,2010,104
Puducherry,2011,81
Puducherry,2012,50
Lakshadweep,2001,0
Lakshadweep,2002,2
Lakshadweep,2003,4
Lakshadweep,2004,1
Lakshadweep,2005,0
Lakshadweep,2006,1
Lakshadweep,2007,5
Lakshadweep,2008,4
Lakshadweep,2009,1
Lakshadweep,2010,1
Lakshadweep,2011,0
Lakshadweep,2012,2
Delhi UT,2001,2284
Delhi UT,2002,2209
Delhi UT,2003,3268
Delhi UT,2004,3666
Delhi UT,2005,4341
Delhi UT,2006,4529
Delhi UT,2007,4788
Delhi UT,2008,3919
Delhi UT,2009,4245
Delhi UT,2010,4503
Delhi UT,2011,5227
Delhi UT,2012,5944
Daman & Diu,2001,10
Daman & Diu,2002,8
Daman & Diu,2003,10
Daman & Diu,2004,7
Daman & Diu,2005,10
Daman & Diu,2006,9
Daman & Diu,2007,11
Daman & Diu,2008,15
Daman & Diu,2009,13
Daman & Diu,2010,14
Daman & Diu,2011,11
Daman & Diu,2012,11
D&N Haveli,2001,19
D&N Haveli,2002,15
D&N Haveli,2003,13
D&N Haveli,2004,22
D&N Haveli,2005,24
D&N Haveli,2006,32
D&N Haveli,2007,18
D&N Haveli,2008,28
D&N Haveli,2009,19
D&N Haveli,2010,30
D&N Haveli,2011,18
D&N Haveli,2012,16
Chandigarh,2001,150
Chandigarh,2002,189
Chandigarh,2003,159
Chandigarh,2004,188
Chandigarh,2005,205
Chandigarh,2006,224
Chandigarh,2007,230
Chandigarh,2008,142
Chandigarh,2009,150
Chandigarh,2010,141
Chandigarh,2011,155
Chandigarh,2012,241
A&N Islands,2001,34
A&N Islands,2002,27
A&N Islands,2003,22
A&N Islands,2004,27
A&N Islands,2005,22
A&N Islands,2006,36
A&N Islands,2007,55
A&N Islands,2008,80
A&N Islands,2009,92
A&N Islands,2010,85
A&N Islands,2011,51
A&N Islands,2012,49
