State,Year,CrimeRate In North
J&K,2001,1653
J&K,2002,2016
J&K,2003,2160
J&K,2004,2206
J&K,2005,2144
J&K,2006,2430
J&K,2007,2520
J&K,2008,2293
J&K,2009,2621
J&K,2010,2609
J&K,2011,3143
J&K,2012,3325
Himachal Pradesh,2001,881
Himachal Pradesh,2002,833
Himachal Pradesh,2003,722
Himachal Pradesh,2004,818
Himachal Pradesh,2005,792
Himachal Pradesh,2006,790
Himachal Pradesh,2007,1014
Himachal Pradesh,2008,977
Himachal Pradesh,2009,950
Himachal Pradesh,2010,1028
Himachal Pradesh,2011,997
Himachal Pradesh,2012,912
Punjab,2001,2361
Punjab,2002,2295
Punjab,2003,2372
Punjab,2004,1948
Punjab,2005,1964
Punjab,2006,2233
Punjab,2007,2688
Punjab,2008,2623
Punjab,2009,2622
Punjab,2010,2852
Punjab,2011,2638
Punjab,2012,3237
Uttarakhand,2001,744
Uttarakhand,2002,868
Uttarakhand,2003,885
Uttarakhand,2004,986
Uttarakhand,2005,784
Uttarakhand,2006,1037
Uttarakhand,2007,1095
Uttarakhand,2008,1151
Uttarakhand,2009,1187
Uttarakhand,2010,1073
Uttarakhand,2011,993
Uttarakhand,2012,1067
UP,2001,19887
UP,2002,15359
UP,2003,12473
UP,2004,15005
UP,2005,14289
UP,2006,15747
UP,2007,20190
UP,2008,23245
UP,2009,22980
UP,2010,20054
UP,2011,22515
UP,2012,23064
Haryana,2001,3393
Haryana,2002,4382
Haryana,2003,4167
Haryana,2004,4270
Haryana,2005,4154
Haryana,2006,4610
Haryana,2007,4637
Haryana,2008,5129
Haryana,2009,5306
Haryana,2010,5551
Haryana,2011,5482
Haryana,2012,5993
