State,Year,CrimeRate In South
Andhra Pradesh,2001,15919
Andhra Pradesh,2002,18420
Andhra Pradesh,2003,18182
Andhra Pradesh,2004,18580
Andhra Pradesh,2005,20510
Andhra Pradesh,2006,21010
Andhra Pradesh,2007,23921
Andhra Pradesh,2008,23042
Andhra Pradesh,2009,24207
Andhra Pradesh,2010,26058
Andhra Pradesh,2011,26347
Andhra Pradesh,2012,25660
Karnataka,2001,5641
Karnataka,2002,5787
Karnataka,2003,5493
Karnataka,2004,5086
Karnataka,2005,5696
Karnataka,2006,5608
Karnataka,2007,6052
Karnataka,2008,6262
Karnataka,2009,6946
Karnataka,2010,7730
Karnataka,2011,8372
Karnataka,2012,9006
Kerala,2001,5444
Kerala,2002,5826
Kerala,2003,5649
Kerala,2004,6481
Kerala,2005,6758
Kerala,2006,7549
Kerala,2007,7828
Kerala,2008,8112
Kerala,2009,8041
Kerala,2010,9456
Kerala,2011,11283
Kerala,2012,10927
Tamil Nadu,2001,10064
Tamil Nadu,2002,9673
Tamil Nadu,2003,8712
Tamil Nadu,2004,9038
Tamil Nadu,2005,8455
Tamil Nadu,2006,6408
Tamil Nadu,2007,7443
Tamil Nadu,2008,6958
Tamil Nadu,2009,5844
Tamil Nadu,2010,6509
Tamil Nadu,2011,6745
Tamil Nadu,2012,6915
